%beta,S_CDW,error
3.0,4.86576526,0.09519591
3.5,11.2653803,0.22572749
3.75,17.97903423,0.29309264
4.0,24.97042012,0.28675418
4.25,31.19129885,0.21814838
4.5,34.50854343,0.18651499
5.0,38.73517005,0.07859565
5.5,40.41086934,0.05924818
6.0,41.26042141,0.03421539
6.5,41.74529606,0.02433332
7.0,41.9771175,0.01982672
7.5,42.10533726,0.01781348
