0.80      0.66664   
0.90      0.66659   
1.00      0.66651  
1.10      0.66634 
1.20      0.66602
1.30      0.66542       
1.40      0.66417      
1.50      0.66130     
1.60      0.65373   
1.65      0.64677       
1.67      0.64237   
1.68      0.63978   
1.69      0.63697  
1.70      0.63400 
1.71      0.63086
1.72      0.62792   
1.73      0.62401  
1.74      0.61954 
1.75     0.61532 
1.75      0.61538   
1.76      0.61112       
1.77      0.60571      
1.78      0.60065     
1.79      0.59527    
1.80      0.58815   
1.81      0.58110  
1.82      0.57524       
1.85     0.55170   
1.90     0.51067     
1.95     0.46180   
2.00     0.41185  
2.10     0.31592 
2.20     0.24378
2.30     0.18455       
2.40     0.14469   
2.50     0.11713  
2.60     0.09635 
2.70     0.08608       
2.80     0.07045      
2.90     0.05991     
3.00     0.05891    
