0.5,-0.96711809,0.0012931099999999999
0.6,-0.98525082,0.0012585399999999998
0.7,-1.00649086,0.0011805000000000001
0.7999999999999999,-1.02795477,0.00114607
0.8999999999999999,-1.05107045,0.00119035
0.9999999999999999,-1.0820644,0.00123389
1.0999999999999999,-1.1229876600000002,0.00137536
1.1999999999999997,-1.17997914,0.00174086
1.2999999999999998,-1.2690949800000002,0.00232235
1.4,-1.4078119900000001,0.00317686
1.4999999999999998,-1.59307193,0.00344226
1.5999999999999996,-1.7561224899999999,0.00285989
1.6999999999999997,-1.88274168,0.00208687
1.7999999999999998,-1.9715289599999999,0.00154368
1.8999999999999997,-2.03242994,0.00132021
1.9999999999999996,-2.0799721599999996,0.0012166
3.0,-2.22126589,0.00091003
4.0,-2.23934716,0.00086336
4.5,-2.2419868999999997,0.00084756
