5.775000000000000355e+00 2.499999999999999445e-02 2.500000000000000000e-01
4.474999999999999645e+00 2.499999999999999445e-02 3.250000000000000111e-01
4.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01
3.950000000000000178e+00 3.333333333333333287e-02 4.750000000000000333e-01
4.250000000000000000e+00 0.000000000000000000e+00 5.500000000000000444e-01
4.750000000000000000e+00 0.000000000000000000e+00 6.250000000000000000e-01
5.200000000000000178e+00 3.333333333333333287e-02 7.000000000000000666e-01
4.750000000000000000e+00 0.000000000000000000e+00 7.750000000000001332e-01
6.000000000000000000e+00 0.000000000000000000e+00 8.500000000000000888e-01
5.750000000000000000e+00 8.333333333333332871e-02 9.250000000000000444e-01
