%beta,S_CDW,error
0.5,1.06884265,0.00275742
0.6,1.27622729,0.00423246
0.7,1.50465455,0.00611758
0.8,1.82237873,0.00889305
0.9,2.24834513,0.0135269
1.0,2.91376344,0.02202602
1.3,9.82213873,0.12039196
1.5,29.79388841,0.24927135
1.7,50.42564089,0.09967455
2.1,62.7141857,0.02094829
2.2,63.98353377,0.0163893
2.3,64.98700052,0.01357068
2.4,65.72319644,0.01247016
2.5,66.32244664,0.01053147
2.6,66.78102426,0.01006391
2.7,67.16258693,0.00895246
2.8,67.47388813,0.00844455
2.9,67.70082379,0.00788767
3.5,68.48824339,0.00619353
4.0,68.74958079,0.00564292
4.5,68.88289433,0.00572087
