%beta,S_CDW,error
3.0,5.05430533,0.11418808
3.5,13.45173609,0.333556
3.75,23.41093004,0.45830081
4.0,36.69863659,0.48898177
4.25,47.07079520,0.35482193
4.5,53.54643684,0.25939040
5.0,60.20525504,0.11532927
