1.20   0.49730   
1.25   0.58586  
1.30   0.68632 
1.35   0.80141   
1.40   0.92351   
1.45   1.08865   
1.50   1.25916   
1.55   1.46142   
1.60   1.73320   
1.61   1.79248   
1.62   1.85466   
1.63   1.92669   
1.64   1.99893   
1.65   2.06918   
1.66   2.14895   
1.67   2.31100   
1.68   2.31616   
1.69   2.40045   
1.70   2.46850   
1.71   2.55918   
1.72   2.67691   
1.73   2.76442   
1.74   2.81761   
1.75   2.90174   
1.76   2.95288   
1.77   3.00066   
1.78   3.04429   
1.79   3.06133   
1.80   3.05010   
1.81   3.05057   
1.82   3.00544   
1.83   2.95979   
1.84   2.90597   
1.85   2.82630   
1.86   2.75452   
1.87   2.66791   
1.88   2.57264   
1.89   2.48597   
1.90   2.40148   
1.91   2.31100   
1.95   1.97566   
2.00   1.63674   
2.05   1.39832   
2.10   1.22733   
2.15   1.09239   
2.20   0.98673   
2.25   0.90411   
2.30   0.83214   
2.35   0.76965   
2.40   0.71530   
2.45   0.66752   
2.50   0.62549   
2.55   0.58736   
2.60   0.55272   
2.65   0.52091   
2.70   0.49272   
2.75   0.46660   
2.80   0.44248   
2.85   0.41983   
2.90   0.39981   
2.95   0.38126   
3.00   0.36325   
