%beta,S_CDW,error
0.5,1.07465006,0.00279795
0.6,1.27035134,0.00417479
0.7,1.50756558,0.00583969
0.8,1.85401402,0.00851005
0.9,2.26916941,0.01327143
1.0,2.95012133,0.02124416
1.1,3.96689193,0.03296364
1.2,5.70842784,0.0539309
1.3,8.83052938,0.09043796
1.4,14.16873348,0.12925115
1.5,21.53825635,0.141547
1.6,27.92395717,0.10821616
1.7,32.58016881,0.06781727
1.8,35.67642009,0.04027696
1.9,37.75499731,0.02577921
2.0,39.225121,0.02065548
2.1,40.27451592,0.01579619
2.2,41.07881378,0.01319521
2.3,41.70324224,0.0109474
2.4,42.19089927,0.00998982
2.5,42.56035884,0.00875579
2.6,42.87158814,0.00750885
2.7,43.09888404,0.00663782
2.8,43.29339336,0.00658244
2.9,43.44356328,0.00599021
3.0,43.56910406,0.00601584
4.0,44.11410462,0.0046548
4.5,44.19343822,0.00448869
