% alpha,beta,beta_error
0.6325,1.5796491083704307,0.004875296464176094
0.7746,0.9704425459117212,0.0029466260498470435
0.8944,0.6955024886685766,0.0032322006651043225
1.0,0.5647251045226254,0.0011539070323141724
1.2247,0.4500048364448777,0.002329647108092546
1.7889,0.4818502081393617,0.0014122886900845115
2.529,0.48000560067164144,0.003906570649947145
