0.80   0.06917   
0.90   0.13161   
1.00   0.22178   
1.10   0.34079   
1.20   0.49619   
1.30   0.68798   
1.40   0.93240   
1.50   1.26439   
1.60   1.73850   
1.65   1.99628   
1.67    2.12199   
1.68    2.18724   
1.69    2.25063   
1.70    2.30988   
1.71    2.36113   
1.72    2.40241   
1.73    2.45570   
1.74    2.51435   
1.75    2.55165   
1.76    2.57703   
1.77    2.61545   
1.78    2.63296   
1.79    2.64512   
1.80    2.66291   
1.81    2.67275   
1.82    2.66170   
1.85   2.62379   
1.90   2.40977   
1.95   2.13884   
2.00   1.86106   
2.10   1.40669   
2.20   1.08824   
2.30   0.87863   
2.40   0.73969   
2.50   0.64015   
2.60   0.56016   
2.70   0.49411   
2.80   0.44391   
2.90   0.40371   
3.00   0.36504  
